2026-01-16T08:36:27.659813,0,2
2026-01-16T08:54:07.366291,0,2
2026-01-16T08:54:18.297765,1,3
2026-01-16T12:03:24.70275,0,3
2026-01-16T12:11:16.893605,0,4
2026-01-16T12:11:34.441728,0,2
2026-01-19T11:33:15.288826,1,3
2026-01-19T11:33:33.306894,1,3
2026-01-19T11:33:33.838508,1,3
2026-01-19T11:33:34.756881,1,3
2026-01-19T11:36:21.139623,1,1
2026-01-19T16:46:29.158299,0,2
2026-01-19T16:46:48.043449,0,2
2026-01-19T16:47:12.764464,0,2
2026-01-19T16:51:36.518281,0,2
2026-01-19T16:52:46.634337,0,2
2026-01-19T16:52:55.846006,0,2
2026-01-20T14:21:44.485269,1,6
2026-01-20T14:22:17.054603,0,10
2026-01-20T14:23:42.162374,0,1
2026-01-20T14:25:06.065855,0,1
2026-01-20T14:33:40.536781,0,1
2026-01-20T14:35:42.188195,0,1
2026-01-20T14:37:57.375603,0,1
2026-01-20T14:38:04.801375,0,0
2026-01-20T21:26:57.896765,0,2
2026-01-20T21:30:47.697733,0,2
